CustomerID,FirstName,LastName,Email,City,Country,SignupDate
1,Ananya,Reddy,user1@example.com,Pune,India,2020-02-08
2,Sneha,Nair,user2@example.com,Hyderabad,India,2023-09-26
3,Kiran,Kumar,user3@example.com,Bangalore,India,2020-02-11
4,Ananya,Reddy,user4@example.com,Pune,India,2020-01-10
5,Ravi,Patel,user5@example.com,Delhi,India,2019-06-06
6,Rahul,Nair,user6@example.com,Bangalore,India,2021-11-01
7,Kiran,Kumar,user7@example.com,Hyderabad,India,2023-12-22
8,Kiran,Patel,user8@example.com,Chennai,India,2018-09-05
9,Ananya,Patel,user9@example.com,Pune,India,2021-09-03
10,Priya,Patel,user10@example.com,Delhi,India,2024-10-19
11,Ravi,Patel,user11@example.com,Mumbai,India,2023-02-02
12,Ananya,Reddy,user12@example.com,Mumbai,India,2019-11-17
13,Ravi,Singh,user13@example.com,Bangalore,India,2019-08-09
14,Ravi,Reddy,user14@example.com,Chennai,India,2024-07-26
15,Rahul,Reddy,user15@example.com,Mumbai,India,2018-05-23
16,Kiran,Kumar,user16@example.com,Bangalore,India,2020-08-24
17,Sneha,Kumar,user17@example.com,Hyderabad,India,2019-12-19
18,Rahul,Singh,user18@example.com,Bangalore,India,2019-10-05
19,Rahul,Kumar,user19@example.com,Bangalore,India,2024-12-23
20,Ravi,Sharma,user20@example.com,Bangalore,India,2019-01-05
21,Raj,Singh,user21@example.com,Delhi,India,2021-01-14
22,Kiran,Kumar,user22@example.com,Bangalore,India,2020-02-26
23,Priya,Singh,user23@example.com,Pune,India,2022-01-23
24,Rahul,Reddy,user24@example.com,Bangalore,India,2020-08-07
25,Sneha,Reddy,user25@example.com,Delhi,India,2021-09-10
26,Raj,Singh,user26@example.com,Delhi,India,2019-06-06
27,Raj,Sharma,user27@example.com,Hyderabad,India,2024-12-11
28,Priya,Sharma,user28@example.com,Chennai,India,2023-05-07
29,Rahul,Singh,user29@example.com,Mumbai,India,2024-09-10
30,Sneha,Kumar,user30@example.com,Mumbai,India,2018-12-21
31,Kiran,Nair,user31@example.com,Bangalore,India,2020-08-04
32,Amit,Sharma,user32@example.com,Hyderabad,India,2024-05-24
33,Sneha,Patel,user33@example.com,Bangalore,India,2022-01-22
34,Priya,Reddy,user34@example.com,Mumbai,India,2022-07-06
35,Raj,Singh,user35@example.com,Delhi,India,2019-06-20
36,Kiran,Patel,user36@example.com,Chennai,India,2021-08-07
37,Sneha,Singh,user37@example.com,Hyderabad,India,2024-01-25
38,Amit,Reddy,user38@example.com,Delhi,India,2020-08-07
39,Amit,Reddy,user39@example.com,Chennai,India,2019-09-13
40,Ravi,Sharma,user40@example.com,Hyderabad,India,2019-03-04
41,Ravi,Sharma,user41@example.com,Hyderabad,India,2022-09-22
42,Ananya,Patel,user42@example.com,Mumbai,India,2024-12-12
43,Priya,Singh,user43@example.com,Delhi,India,2024-07-30
44,Rahul,Reddy,user44@example.com,Hyderabad,India,2024-02-22
45,Sneha,Patel,user45@example.com,Pune,India,2019-06-29
46,Sneha,Nair,user46@example.com,Hyderabad,India,2020-04-03
47,Rahul,Patel,user47@example.com,Chennai,India,2020-09-29
48,Ananya,Kumar,user48@example.com,Mumbai,India,2019-10-21
49,Raj,Patel,user49@example.com,Bangalore,India,2023-08-21
50,Raj,Kumar,user50@example.com,Mumbai,India,2024-09-09
51,Ananya,Kumar,user51@example.com,Bangalore,India,2020-01-01
52,Raj,Kumar,user52@example.com,Delhi,India,2023-01-07
53,Ravi,Nair,user53@example.com,Delhi,India,2019-02-13
54,Sneha,Patel,user54@example.com,Hyderabad,India,2024-08-06
55,Ananya,Patel,user55@example.com,Pune,India,2018-03-25
56,Sneha,Nair,user56@example.com,Delhi,India,2024-01-13
57,Rahul,Reddy,user57@example.com,Hyderabad,India,2019-12-08
58,Amit,Sharma,user58@example.com,Mumbai,India,2023-05-16
59,Ravi,Patel,user59@example.com,Delhi,India,2024-11-24
60,Kiran,Sharma,user60@example.com,Mumbai,India,2021-12-18
61,Ravi,Singh,user61@example.com,Mumbai,India,2018-05-14
62,Ananya,Singh,user62@example.com,Pune,India,2020-02-27
63,Kiran,Nair,user63@example.com,Delhi,India,2020-05-13
64,Amit,Singh,user64@example.com,Mumbai,India,2019-10-29
65,Ananya,Singh,user65@example.com,Pune,India,2018-10-04
66,Priya,Reddy,user66@example.com,Pune,India,2022-11-11
67,Sneha,Reddy,user67@example.com,Delhi,India,2020-05-31
68,Amit,Reddy,user68@example.com,Pune,India,2023-08-23
69,Sneha,Singh,user69@example.com,Delhi,India,2024-07-17
70,Raj,Nair,user70@example.com,Delhi,India,2023-09-14
71,Priya,Kumar,user71@example.com,Bangalore,India,2021-05-22
72,Priya,Kumar,user72@example.com,Mumbai,India,2024-09-18
73,Amit,Sharma,user73@example.com,Chennai,India,2018-06-08
74,Priya,Kumar,user74@example.com,Delhi,India,2021-02-07
75,Kiran,Kumar,user75@example.com,Mumbai,India,2023-01-26
76,Priya,Reddy,user76@example.com,Pune,India,2018-10-06
77,Sneha,Reddy,user77@example.com,Hyderabad,India,2024-12-01
78,Sneha,Singh,user78@example.com,Delhi,India,2018-04-21
79,Ananya,Sharma,user79@example.com,Pune,India,2024-10-14
80,Sneha,Patel,user80@example.com,Pune,India,2019-06-26
81,Ananya,Sharma,user81@example.com,Pune,India,2021-02-12
82,Sneha,Sharma,user82@example.com,Pune,India,2018-12-26
83,Kiran,Nair,user83@example.com,Pune,India,2024-08-16
84,Rahul,Singh,user84@example.com,Delhi,India,2021-05-23
85,Ananya,Nair,user85@example.com,Chennai,India,2022-10-23
86,Ravi,Sharma,user86@example.com,Bangalore,India,2020-08-12
87,Raj,Sharma,user87@example.com,Pune,India,2024-04-25
88,Amit,Sharma,user88@example.com,Pune,India,2023-12-08
89,Sneha,Kumar,user89@example.com,Bangalore,India,2020-09-02
90,Priya,Nair,user90@example.com,Delhi,India,2020-07-01
91,Rahul,Sharma,user91@example.com,Mumbai,India,2021-02-25
92,Sneha,Reddy,user92@example.com,Hyderabad,India,2019-12-24
93,Priya,Singh,user93@example.com,Hyderabad,India,2022-09-08
94,Raj,Singh,user94@example.com,Mumbai,India,2018-11-21
95,Raj,Reddy,user95@example.com,Delhi,India,2022-03-10
